Rank,Company,Symbol,Weight,,
423,Fortune Brands Home & Security Inc.,FBHS,0.035974,,
424,Whirlpool Corporation,WHR,0.035958,,
425,Mosaic Company,MOS,0.035894,,
426,United Airlines Holdings Inc.,UAL,0.034977,,
427,Ceridian HCM Holding Inc.,CDAY,0.034839,,
428,C.H. Robinson Worldwide Inc.,CHRW,0.034781,,
429,FMC Corporation,FMC,0.034741,,
430,Incyte Corporation,INCY,0.034404,,
431,Cboe Global Markets Inc,CBOE,0.034013,,
432,Hormel Foods Corporation,HRL,0.033904,,
433,Atmos Energy Corporation,ATO,0.033721,,
434,Brown-Forman Corporation Class B,BF.B,0.032623,,
435,Hasbro Inc.,HAS,0.032074,,
436,PTC Inc.,PTC,0.031879,,
437,Marathon Oil Corporation,MRO,0.031786,,
438,Packaging Corporation of America,PKG,0.031559,,
439,Leidos Holdings Inc.,LDOS,0.030822,,
440,Las Vegas Sands Corp.,LVS,0.030821,,
441,Host Hotels & Resorts Inc.,HST,0.030775,,
442,Robert Half International Inc.,RHI,0.030762,,
443,Jack Henry & Associates Inc.,JKHY,0.030744,,
444,DENTSPLY SIRONA Inc.,XRAY,0.0303,,
445,Howmet Aerospace Inc.,HWM,0.030133,,
446,Fox Corporation Class A,FOXA,0.029939,,
447,Lincoln National Corporation,LNC,0.02985,,
448,Pentair plc,PNR,0.029578,,
449,Citrix Systems Inc.,CTXS,0.029278,,
450,Allegion PLC,ALLE,0.029122,,
451,Loews Corporation,L,0.029102,,
452,Lumen Technologies Inc.,LUMN,0.029004,,
453,WestRock Company,WRK,0.028979,,
454,American Airlines Group Inc.,AAL,0.028831,,
455,Comerica Incorporated,CMA,0.028743,,
456,Snap-on Incorporated,SNA,0.028543,,
457,Juniper Networks Inc.,JNPR,0.028383,,
458,Regency Centers Corporation,REG,0.028222,,
459,W. R. Berkley Corporation,WRB,0.028195,,
460,Tapestry Inc.,TPR,0.028172,,
461,A. O. Smith Corporation,AOS,0.028024,,
462,Everest Re Group Ltd.,RE,0.026942,,
463,Henry Schein Inc.,HSIC,0.026865,,
464,BorgWarner Inc.,BWA,0.026618,,
465,NiSource Inc,NI,0.026479,,
466,NRG Energy Inc.,NRG,0.026083,,
467,APA Corp.,APA,0.025381,,
468,Zions Bancorporation N.A.,ZION,0.025224,,
469,Sealed Air Corporation,SEE,0.024823,,
470,Mohawk Industries Inc.,MHK,0.024529,,
471,Universal Health Services Inc. Class B,UHS,0.024465,,
472,Federal Realty Investment Trust,FRT,0.023703,,
473,Franklin Resources Inc.,BEN,0.022697,,
474,Lamb Weston Holdings Inc.,LW,0.022562,,
475,Wynn Resorts Limited,WYNN,0.022524,,
476,Assurant Inc.,AIZ,0.022461,,
477,News Corporation Class A,NWSA,0.021865,,
478,Campbell Soup Company,CPB,0.021751,,
479,Globe Life Inc.,GL,0.021737,,
480,Molson Coors Beverage Company Class B,TAP,0.02147,,
481,Penn National Gaming Inc.,PENN,0.021063,,
482,Newell Brands Inc,NWL,0.020283,,
483,DISH Network Corporation Class A,DISH,0.020201,,
484,DXC Technology Co.,DXC,0.020131,,
485,Pinnacle West Capital Corporation,PNW,0.01973,,
486,Invesco Ltd.,IVZ,0.019551,,
487,Organon & Co.,OGN,0.019312,,
488,Norwegian Cruise Line Holdings Ltd.,NCLH,0.019008,,
489,DaVita Inc.,DVA,0.018796,,
490,PVH Corp.,PVH,0.01875,,
491,People's United Financial Inc.,PBCT,0.018718,,
492,Rollins Inc.,ROL,0.018523,,
493,Nielsen Holdings Plc,NLSN,0.018404,,
494,Huntington Ingalls Industries Inc.,HII,0.018354,,
495,Discovery Inc. Class C,DISCK,0.01713,,
496,Vornado Realty Trust,VNO,0.016551,,
497,Alaska Air Group Inc.,ALK,0.016032,,
498,IPG Photonics Corporation,IPGP,0.015371,,
499,Ralph Lauren Corporation Class A,RL,0.014138,,
500,Fox Corporation Class B,FOX,0.012712,,
501,Under Armour Inc. Class A,UAA,0.009879,,
502,Discovery Inc. Class A,DISCA,0.009862,,
503,Gap Inc.,GPS,0.00917,,
504,Under Armour Inc. Class C,UA,0.008804,,
505,News Corporation Class B,NWS,0.006925,,
